Energy,Value
4.46684E-07,7.05203E-06
3.98107E-06,7.14895E-06
3.98107E-05,6.28513E-06
0.000354813,5.67862E-06
0.003548134,6.37151E-06
0.035481339,6.35839E-06
0.177827941,2.19349E-06
0.316227766,2.46114E-06
0.562341325,2.05672E-06
0.707945784,2.30768E-06
0.891250938,2.06759E-06
1.258925412,6.18201E-06
2.238721139,6.50392E-06
2.818382931,2.05679E-06
3.548133892,2.31987E-06
5.011872336,1.83305E-06
6.309573445,1.0308E-06
7.943282347,1.16269E-06
11.22018454,1.08749E-06
12.58925412,9.69227E-07
14.12537545,0.0
