Energy (MeV),1.00E-09,1.58E-09,2.51E-09,3.98E-09,6.31E-09,1.00E-08,1.58E-08,2.51E-08,3.98E-08,6.31E-08,1.00E-07,1.58E-07,2.51E-07,3.98E-07,6.31E-07,1.00E-06,1.58E-06,2.51E-06,3.98E-06,6.31E-06,1.00E-05,1.58E-05,2.51E-05,3.98E-05,6.31E-05,1.00E-04,1.58E-04,2.51E-04,3.98E-04,6.31E-04,1.00E-03,1.58E-03,2.51E-03,3.98E-03,6.31E-03,1.00E-02,1.58E-02,2.51E-02,3.98E-02,6.31E-02,1.00E-01,1.26E-01,1.58E-01,2.00E-01,2.51E-01,3.16E-01,3.98E-01,5.01E-01,6.31E-01,7.94E-01,1.00E+00,1.12E+00,1.26E+00,1.41E+00,1.58E+00,1.78E+00,2.00E+00,2.24E+00,2.51E+00,2.82E+00,3.16E+00,3.55E+00,3.98E+00,4.47E+00,5.01E+00,5.62E+00,6.31E+00,7.08E+00,7.94E+00,8.91E+00,1.00E+01,1.12E+01,1.26E+01,1.41E+01,1.58E+01,1.78E+01,2.00E+01,2.51E+01,3.16E+01,3.98E+01,5.01E+01,6.31E+01,7.94E+01,1.00E+02
1cm,5.45E-06,5.64E-06,5.79E-06,6.08E-06,6.25E-06,6.53E-06,6.80E-06,6.94E-06,7.02E-06,7.17E-06,7.26E-06,7.24E-06,7.05E-06,6.94E-06,6.74E-06,6.58E-06,6.40E-06,6.23E-06,6.05E-06,5.87E-06,5.67E-06,5.51E-06,5.35E-06,5.20E-06,5.04E-06,4.90E-06,4.78E-06,4.65E-06,4.51E-06,4.41E-06,4.32E-06,4.23E-06,4.11E-06,4.02E-06,3.96E-06,3.87E-06,3.78E-06,3.71E-06,3.65E-06,3.58E-06,3.52E-06,3.48E-06,3.42E-06,3.39E-06,3.37E-06,3.30E-06,3.25E-06,3.21E-06,3.10E-06,3.04E-06,2.92E-06,2.86E-06,2.82E-06,2.73E-06,2.67E-06,2.57E-06,2.49E-06,2.40E-06,2.30E-06,2.17E-06,2.08E-06,1.97E-06,1.92E-06,1.87E-06,1.83E-06,1.79E-06,1.71E-06,1.57E-06,1.46E-06,1.35E-06,1.24E-06,1.33E-06,1.28E-06,1.29E-06,1.31E-06,1.27E-06,1.55E-06,1.32E-06,1.32E-06,1.43E-06,1.64E-06,1.83E-06,2.13E-06,2.63E-06
2cm,4.73E-06,4.86E-06,5.02E-06,5.23E-06,5.50E-06,5.75E-06,6.04E-06,6.31E-06,6.56E-06,6.83E-06,7.02E-06,7.26E-06,7.27E-06,7.20E-06,7.17E-06,7.10E-06,6.95E-06,6.92E-06,6.72E-06,6.56E-06,6.45E-06,6.33E-06,6.18E-06,6.07E-06,5.91E-06,5.73E-06,5.60E-06,5.53E-06,5.35E-06,5.25E-06,5.14E-06,5.04E-06,4.92E-06,4.82E-06,4.75E-06,4.63E-06,4.59E-06,4.49E-06,4.41E-06,4.33E-06,4.24E-06,4.21E-06,4.14E-06,4.12E-06,4.08E-06,4.01E-06,3.96E-06,3.89E-06,3.78E-06,3.69E-06,3.57E-06,3.50E-06,3.43E-06,3.34E-06,3.25E-06,3.15E-06,3.04E-06,2.92E-06,2.81E-06,2.64E-06,2.56E-06,2.40E-06,2.36E-06,2.29E-06,2.25E-06,2.18E-06,2.10E-06,1.94E-06,1.79E-06,1.63E-06,1.53E-06,1.62E-06,1.55E-06,1.58E-06,1.58E-06,1.53E-06,1.88E-06,1.50E-06,1.45E-06,1.52E-06,1.73E-06,1.92E-06,2.21E-06,2.69E-06
3cm,4.29E-06,4.41E-06,4.53E-06,4.70E-06,4.94E-06,5.21E-06,5.49E-06,5.79E-06,6.07E-06,6.44E-06,6.80E-06,7.11E-06,7.19E-06,7.31E-06,7.47E-06,7.35E-06,7.26E-06,7.28E-06,7.23E-06,7.14E-06,6.96E-06,6.91E-06,6.71E-06,6.67E-06,6.52E-06,6.36E-06,6.25E-06,6.16E-06,6.03E-06,5.90E-06,5.78E-06,5.71E-06,5.62E-06,5.51E-06,5.39E-06,5.31E-06,5.20E-06,5.14E-06,5.06E-06,4.97E-06,4.85E-06,4.87E-06,4.79E-06,4.76E-06,4.70E-06,4.63E-06,4.56E-06,4.49E-06,4.39E-06,4.26E-06,4.14E-06,4.05E-06,3.96E-06,3.88E-06,3.77E-06,3.64E-06,3.52E-06,3.39E-06,3.26E-06,3.06E-06,2.95E-06,2.79E-06,2.74E-06,2.67E-06,2.61E-06,2.54E-06,2.42E-06,2.24E-06,2.06E-06,1.90E-06,1.76E-06,1.89E-06,1.81E-06,1.82E-06,1.81E-06,1.76E-06,2.17E-06,1.66E-06,1.56E-06,1.59E-06,1.78E-06,2.03E-06,2.25E-06,2.71E-06
4cm,3.98E-06,4.09E-06,4.24E-06,4.38E-06,4.55E-06,4.82E-06,5.11E-06,5.38E-06,5.65E-06,6.08E-06,6.54E-06,6.94E-06,7.16E-06,7.33E-06,7.44E-06,7.43E-06,7.45E-06,7.45E-06,7.41E-06,7.39E-06,7.31E-06,7.28E-06,7.09E-06,7.05E-06,6.95E-06,6.82E-06,6.72E-06,6.70E-06,6.47E-06,6.46E-06,6.26E-06,6.20E-06,6.13E-06,5.98E-06,5.93E-06,5.85E-06,5.72E-06,5.66E-06,5.57E-06,5.49E-06,5.43E-06,5.38E-06,5.32E-06,5.27E-06,5.24E-06,5.15E-06,5.13E-06,5.04E-06,4.92E-06,4.75E-06,4.62E-06,4.55E-06,4.42E-06,4.32E-06,4.20E-06,4.06E-06,3.94E-06,3.80E-06,3.64E-06,3.43E-06,3.32E-06,3.12E-06,3.06E-06,2.98E-06,2.93E-06,2.83E-06,2.71E-06,2.49E-06,2.30E-06,2.13E-06,1.97E-06,2.10E-06,2.01E-06,2.03E-06,2.02E-06,1.97E-06,2.41E-06,1.80E-06,1.67E-06,1.71E-06,1.88E-06,2.01E-06,2.30E-06,2.78E-06
5cm,3.77E-06,3.84E-06,3.96E-06,4.11E-06,4.27E-06,4.53E-06,4.81E-06,5.05E-06,5.38E-06,5.77E-06,6.28E-06,6.74E-06,6.98E-06,7.14E-06,7.29E-06,7.49E-06,7.53E-06,7.52E-06,7.56E-06,7.57E-06,7.50E-06,7.43E-06,7.46E-06,7.31E-06,7.22E-06,7.22E-06,7.04E-06,6.96E-06,6.89E-06,6.74E-06,6.73E-06,6.58E-06,6.53E-06,6.39E-06,6.34E-06,6.25E-06,6.17E-06,6.15E-06,5.98E-06,5.97E-06,5.86E-06,5.80E-06,5.81E-06,5.74E-06,5.67E-06,5.64E-06,5.55E-06,5.45E-06,5.32E-06,5.22E-06,5.06E-06,4.95E-06,4.84E-06,4.73E-06,4.61E-06,4.46E-06,4.32E-06,4.17E-06,3.97E-06,3.74E-06,3.64E-06,3.40E-06,3.35E-06,3.26E-06,3.21E-06,3.09E-06,2.98E-06,2.73E-06,2.53E-06,2.32E-06,2.16E-06,2.30E-06,2.21E-06,2.22E-06,2.22E-06,2.17E-06,2.64E-06,1.93E-06,1.78E-06,1.80E-06,1.95E-06,2.07E-06,2.37E-06,2.77E-06
6cm,3.56E-06,3.64E-06,3.76E-06,3.88E-06,4.07E-06,4.30E-06,4.53E-06,4.79E-06,5.07E-06,5.49E-06,6.01E-06,6.51E-06,6.71E-06,7.00E-06,7.20E-06,7.38E-06,7.47E-06,7.61E-06,7.57E-06,7.55E-06,7.54E-06,7.54E-06,7.56E-06,7.51E-06,7.46E-06,7.33E-06,7.32E-06,7.27E-06,7.11E-06,7.07E-06,7.00E-06,6.88E-06,6.87E-06,6.72E-06,6.68E-06,6.59E-06,6.52E-06,6.47E-06,6.39E-06,6.36E-06,6.20E-06,6.25E-06,6.19E-06,6.16E-06,6.07E-06,6.03E-06,5.98E-06,5.88E-06,5.76E-06,5.59E-06,5.45E-06,5.34E-06,5.21E-06,5.10E-06,4.94E-06,4.82E-06,4.65E-06,4.49E-06,4.32E-06,4.05E-06,3.91E-06,3.70E-06,3.64E-06,3.52E-06,3.45E-06,3.36E-06,3.20E-06,2.96E-06,2.72E-06,2.48E-06,2.33E-06,2.48E-06,2.38E-06,2.39E-06,2.40E-06,2.31E-06,2.83E-06,2.08E-06,1.90E-06,1.85E-06,2.02E-06,2.17E-06,2.41E-06,2.82E-06
7cm,3.42E-06,3.48E-06,3.59E-06,3.71E-06,3.89E-06,4.09E-06,4.32E-06,4.58E-06,4.89E-06,5.25E-06,5.82E-06,6.30E-06,6.50E-06,6.89E-06,7.11E-06,7.26E-06,7.47E-06,7.46E-06,7.60E-06,7.70E-06,7.69E-06,7.74E-06,7.72E-06,7.68E-06,7.59E-06,7.51E-06,7.45E-06,7.48E-06,7.40E-06,7.25E-06,7.21E-06,7.18E-06,7.06E-06,7.05E-06,6.98E-06,6.88E-06,6.84E-06,6.75E-06,6.65E-06,6.67E-06,6.61E-06,6.57E-06,6.49E-06,6.48E-06,6.49E-06,6.39E-06,6.33E-06,6.19E-06,6.11E-06,5.94E-06,5.75E-06,5.66E-06,5.55E-06,5.42E-06,5.28E-06,5.14E-06,4.93E-06,4.77E-06,4.57E-06,4.31E-06,4.17E-06,3.95E-06,3.85E-06,3.75E-06,3.68E-06,3.55E-06,3.41E-06,3.14E-06,2.90E-06,2.67E-06,2.48E-06,2.62E-06,2.53E-06,2.54E-06,2.54E-06,2.48E-06,3.03E-06,2.18E-06,1.98E-06,1.95E-06,2.06E-06,2.20E-06,2.43E-06,2.85E-06
9cm,3.16E-06,3.24E-06,3.31E-06,3.45E-06,3.59E-06,3.79E-06,4.02E-06,4.24E-06,4.50E-06,4.90E-06,5.41E-06,5.87E-06,6.12E-06,6.55E-06,6.83E-06,7.03E-06,7.13E-06,7.38E-06,7.38E-06,7.52E-06,7.64E-06,7.71E-06,7.76E-06,7.71E-06,7.74E-06,7.72E-06,7.68E-06,7.62E-06,7.54E-06,7.54E-06,7.59E-06,7.52E-06,7.43E-06,7.34E-06,7.33E-06,7.35E-06,7.24E-06,7.17E-06,7.18E-06,7.12E-06,7.14E-06,7.16E-06,7.00E-06,7.03E-06,7.00E-06,6.95E-06,6.95E-06,6.80E-06,6.70E-06,6.54E-06,6.32E-06,6.23E-06,6.11E-06,5.97E-06,5.84E-06,5.62E-06,5.46E-06,5.24E-06,5.05E-06,4.73E-06,4.58E-06,4.33E-06,4.26E-06,4.12E-06,4.02E-06,3.91E-06,3.77E-06,3.46E-06,3.23E-06,2.94E-06,2.73E-06,2.90E-06,2.80E-06,2.79E-06,2.80E-06,2.71E-06,3.31E-06,2.36E-06,2.13E-06,2.08E-06,2.20E-06,2.29E-06,2.55E-06,2.95E-06
12cm,2.90E-06,2.97E-06,3.06E-06,3.19E-06,3.33E-06,3.50E-06,3.68E-06,3.91E-06,4.15E-06,4.52E-06,4.97E-06,5.44E-06,5.79E-06,6.08E-06,6.40E-06,6.63E-06,6.73E-06,7.05E-06,7.07E-06,7.30E-06,7.43E-06,7.37E-06,7.45E-06,7.52E-06,7.56E-06,7.57E-06,7.60E-06,7.61E-06,7.58E-06,7.61E-06,7.73E-06,7.72E-06,7.66E-06,7.62E-06,7.55E-06,7.49E-06,7.47E-06,7.51E-06,7.55E-06,7.55E-06,7.52E-06,7.55E-06,7.46E-06,7.50E-06,7.47E-06,7.39E-06,7.33E-06,7.29E-06,7.14E-06,6.98E-06,6.79E-06,6.72E-06,6.56E-06,6.34E-06,6.25E-06,6.08E-06,5.86E-06,5.66E-06,5.45E-06,5.09E-06,4.93E-06,4.63E-06,4.59E-06,4.44E-06,4.38E-06,4.25E-06,4.06E-06,3.72E-06,3.43E-06,3.17E-06,2.94E-06,3.15E-06,3.02E-06,3.02E-06,3.02E-06,2.91E-06,3.54E-06,2.53E-06,2.27E-06,2.18E-06,2.30E-06,2.36E-06,2.54E-06,3.02E-06
