Energy(MeV)/DepthInPNS_measuredFromPositive,1.00E-09,1.58E-09,2.51E-09,3.98E-09,6.31E-09,1.00E-08,1.58E-08,2.51E-08,3.98E-08,6.31E-08,1.00E-07,1.58E-07,2.51E-07,3.98E-07,6.31E-07,1.00E-06,1.58E-06,2.51E-06,3.98E-06,6.31E-06,1.00E-05,1.58E-05,2.51E-05,3.98E-05,6.31E-05,0.0001,0.000158,0.000251,0.000398,0.000631,0.001,0.00158,0.00251,0.00398,0.00631,0.01,0.0158,0.0251,0.0398,0.0631,0.1,0.126,0.158,0.2,0.251,0.316,0.398,0.501,0.631,0.794,1,1.12,1.26,1.41,1.58,1.78,2,2.24,2.51,2.82,3.16,3.55,3.98,4.47,5.01,5.62,6.31,7.08,7.94,8.91,10,11.2,12.6,14.1,15.8,17.8,20,25.1,31.6,39.8,50.1,63.1,79.4,100
1cm,0.00091572,0.00096425,0.0010238,0.001091,0.0011854,0.0012801,0.0013871,0.0014606,0.0015441,0.0016115,0.0017048,0.0017546,0.0017403,0.0017127,0.0016831,0.0016134,0.0015561,0.0014891,0.0014222,0.0013638,0.0012818,0.0012252,0.0011626,0.0010939,0.0010401,0.00098376,0.00093114,0.00088009,0.0008394,0.00079093,0.00075839,0.00072384,0.00069191,0.00065949,0.00063103,0.00060537,0.00057927,0.0005523,0.00053075,0.00051405,0.00049746,0.00048979,0.00046677,0.00046546,0.00045913,0.00044637,0.00042699,0.00041303,0.0003915,0.00036391,0.00034558,0.0003286,0.00032191,0.00029815,0.00028496,0.00026584,0.00024946,0.00023586,0.00021426,0.00019169,0.00017987,0.00015834,0.00015527,0.00014761,0.00014575,0.00013496,0.00012617,0.00010828,0.00010017,8.97E-05,8.02E-05,9.03E-05,8.48E-05,8.86E-05,8.70E-05,8.65E-05,0.00012533,7.05E-05,5.92E-05,5.53E-05,5.51E-05,5.26E-05,5.22E-05,5.76E-05
2cm,0.00074415,0.0007813,0.00082443,0.00088597,0.00097604,0.0010707,0.0011661,0.0012716,0.0013744,0.0015191,0.0016618,0.0017884,0.0018195,0.0018605,0.0018449,0.0018549,0.0018134,0.0017671,0.0017129,0.0016508,0.0016005,0.0015361,0.0014745,0.0014108,0.0013546,0.0012982,0.0012313,0.0011896,0.0011414,0.0010869,0.0010411,0.001016,0.00096068,0.00093351,0.00088932,0.00084996,0.00082618,0.00079358,0.00076703,0.00074264,0.00071312,0.0007013,0.00068564,0.00068176,0.00065898,0.00064217,0.00062477,0.00060339,0.00056703,0.00053692,0.00050627,0.00048911,0.00046621,0.00044065,0.00042357,0.00039838,0.00037377,0.00034402,0.00031315,0.00027965,0.0002648,0.00023163,0.00022895,0.00021876,0.00021196,0.00019485,0.0001861,0.00015964,0.00014319,0.00012516,0.00011097,0.00012403,0.00011898,0.00012025,0.00012008,0.00011704,0.00017699,9.26E-05,7.74E-05,7.04E-05,6.85E-05,6.69E-05,6.67E-05,7.55E-05
3cm,0.00066643,0.00069845,0.00074048,0.00077486,0.00085048,0.00094717,0.0010339,0.0011419,0.0012705,0.0014049,0.0016063,0.0017832,0.0018541,0.0019283,0.0019559,0.0019859,0.0019762,0.0019686,0.0019274,0.0018977,0.0018499,0.0017994,0.0017548,0.001709,0.001633,0.0015798,0.0015161,0.0014614,0.0014133,0.0013657,0.0013123,0.0012694,0.0012164,0.0011789,0.0011343,0.0010979,0.0010657,0.0010261,0.00099842,0.0009694,0.00093287,0.00092625,0.00089795,0.00088627,0.0008773,0.00084515,0.00082045,0.00079247,0.00075823,0.00072074,0.00068338,0.00065287,0.00062094,0.0005883,0.00055491,0.00052009,0.00049722,0.0004575,0.00041686,0.00037103,0.0003445,0.00030957,0.00030346,0.00028944,0.00027651,0.00026355,0.00024378,0.00020789,0.0001901,0.00016491,0.00014679,0.00015988,0.0001556,0.00015341,0.00015352,0.00014947,0.00022628,0.00011463,9.26E-05,8.04E-05,8.16E-05,7.40E-05,6.97E-05,7.92E-05
4cm,0.00060781,0.00063504,0.00066888,0.00071965,0.00077998,0.00085286,0.00095966,0.0010426,0.0011608,0.0013245,0.0015584,0.0017296,0.0018405,0.0019434,0.0020188,0.0020522,0.0020691,0.0020851,0.0020595,0.0020643,0.0020403,0.0019849,0.0019426,0.0019081,0.0018577,0.0017896,0.0017415,0.0017022,0.0016381,0.0015906,0.0015467,0.0015043,0.0014443,0.0014097,0.0013661,0.0013256,0.0012915,0.00124,0.001224,0.0011809,0.0011441,0.0011388,0.0011094,0.0010999,0.0010777,0.0010481,0.0010193,0.00099672,0.00094869,0.0009026,0.00084679,0.00081493,0.00077195,0.00073491,0.00070553,0.00065468,0.00061441,0.00057082,0.00052946,0.00046712,0.00043612,0.00038981,0.00037715,0.00035437,0.00035147,0.00032487,0.00030185,0.00025651,0.00023114,0.00020316,0.00017915,0.00019442,0.00018856,0.0001901,0.00018724,0.00018713,0.00027888,0.00013538,0.00011072,9.92E-05,9.56E-05,8.44E-05,8.34E-05,9.10E-05
5cm,0.00056962,0.00058957,0.00062448,0.00066922,0.00071854,0.00080054,0.00088883,0.00097739,0.0010888,0.0012516,0.0014756,0.0016854,0.0017975,0.0019366,0.0020266,0.0020846,0.0021319,0.0021675,0.002176,0.0021773,0.0021661,0.0021274,0.0021131,0.0020567,0.0020201,0.0019701,0.0019456,0.0018798,0.0018355,0.0017897,0.0017501,0.0016946,0.0016642,0.0016146,0.0015691,0.0015244,0.0015003,0.0014563,0.0014064,0.0013883,0.0013561,0.0013395,0.0013201,0.0013032,0.0012817,0.0012453,0.0012232,0.0011892,0.0011198,0.0010664,0.0010102,0.00096795,0.00092226,0.00089342,0.00083588,0.00078294,0.0007349,0.00068779,0.00063745,0.00055853,0.00052452,0.00046315,0.00045318,0.00042743,0.00041286,0.00039114,0.00036146,0.00030669,0.00027774,0.00023878,0.00021218,0.00023353,0.00021981,0.00022217,0.00022142,0.0002158,0.0003356,0.0001605,0.00012865,0.00011312,0.00010749,9.38E-05,9.66E-05,9.92E-05
6cm,0.00052958,0.00055825,0.00057633,0.00062119,0.00067123,0.00075135,0.00082683,0.00092799,0.0010123,0.0011764,0.0013838,0.0016054,0.0017368,0.001887,0.0019986,0.0020681,0.0021397,0.0021929,0.0021906,0.0022192,0.0022089,0.0022089,0.0021846,0.0021664,0.0021311,0.0020831,0.0020587,0.0020279,0.0019816,0.0019505,0.0018969,0.001876,0.0018201,0.0017738,0.0017475,0.001691,0.0016657,0.0016353,0.0015991,0.0015811,0.0015283,0.0015226,0.0014889,0.0014813,0.0014604,0.0014288,0.0013984,0.0013441,0.0013093,0.0012313,0.001167,0.0011213,0.0010653,0.0010209,0.00096765,0.00091295,0.00084629,0.0008016,0.00073038,0.00064525,0.00060375,0.00053972,0.00052432,0.0005018,0.00047677,0.00045161,0.00041134,0.00035804,0.00032324,0.00027359,0.00024987,0.00026688,0.00025673,0.00025123,0.00025728,0.00024742,0.00037871,0.00018551,0.00014543,0.00012545,0.00011519,0.00010473,0.00010423,0.0001153
7cm,0.00050684,0.00052418,0.00055266,0.00059202,0.0006461,0.00071708,0.00078712,0.00087252,0.00098442,0.0011274,0.0013476,0.0015535,0.0016974,0.0018483,0.0019711,0.0020695,0.0021344,0.0021956,0.0022173,0.0022721,0.0022805,0.0022711,0.0022791,0.0022673,0.0022327,0.0022147,0.0021902,0.0021562,0.0021229,0.0020729,0.0020462,0.0020124,0.0019701,0.0019285,0.0018971,0.00187,0.0018292,0.0017883,0.0017569,0.0017395,0.0017066,0.0016979,0.0016593,0.0016537,0.0016403,0.0016112,0.001566,0.0015273,0.0014832,0.0013939,0.0013312,0.0012734,0.0012257,0.0011502,0.001098,0.0010417,0.00097079,0.00090886,0.00083737,0.00073287,0.00068624,0.00061897,0.00059565,0.00056347,0.00053772,0.00050705,0.00046733,0.00040679,0.00035992,0.00031222,0.00028158,0.00030226,0.0002874,0.00028833,0.00028431,0.00027764,0.00042741,0.00020012,0.00016275,0.00014301,0.00012737,0.00011364,0.00011437,0.00012312
9cm,0.00046791,0.0004844,0.00050889,0.00054463,0.00059816,0.00065219,0.00073357,0.00079744,0.00089892,0.0010489,0.0012417,0.0014661,0.0015923,0.0017661,0.0018898,0.0019959,0.0020937,0.0021573,0.0022131,0.002261,0.0023095,0.0023239,0.0023334,0.0023334,0.0023212,0.0023312,0.0023211,0.0023096,0.0022663,0.0022625,0.0022408,0.0022015,0.0021764,0.0021559,0.002123,0.0020995,0.002067,0.0020557,0.0020177,0.0020114,0.0019862,0.0019801,0.0019448,0.0019555,0.0019437,0.0019086,0.001889,0.0018249,0.0017665,0.0016899,0.0015875,0.0015294,0.0014717,0.0014089,0.0013375,0.00126,0.0011712,0.0010889,0.0010142,0.0008923,0.00082862,0.00074101,0.00071615,0.00067606,0.00064923,0.00062117,0.0005643,0.00048269,0.00044397,0.00037735,0.00033227,0.00036619,0.00034442,0.00034692,0.0003397,0.00032822,0.00051432,0.00024207,0.00019415,0.00016462,0.00015276,0.00013331,0.00013071,0.00014073
12cm,0.00042597,0.0004418,0.00046914,0.00050222,0.00054064,0.00060806,0.00066933,0.00073348,0.00083021,0.00096126,0.0011544,0.0013509,0.0014864,0.001646,0.0017722,0.0018945,0.0019846,0.0020733,0.0021519,0.0022212,0.0022714,0.0023047,0.0023425,0.0023564,0.0023757,0.0023651,0.0023804,0.002383,0.0023715,0.0023769,0.0023651,0.0023514,0.0023239,0.0023163,0.0022902,0.0022834,0.0022665,0.0022388,0.0022208,0.0022287,0.0022316,0.0022261,0.0022054,0.0022338,0.0021894,0.0021806,0.0021552,0.0021011,0.0020387,0.0019532,0.0018358,0.001775,0.0017035,0.0016443,0.0015469,0.0014595,0.0013672,0.0012718,0.0011737,0.0010354,0.00097574,0.00086591,0.00083077,0.0007936,0.0007678,0.00072501,0.00066129,0.00057149,0.00050605,0.00043995,0.00039196,0.00042672,0.00040407,0.00040149,0.00039505,0.00038036,0.00059117,0.0002826,0.00022554,0.00018927,0.00016981,0.00015112,0.00014749,0.00016062
