Depth,Response
1cm,497.834869
2cm,684.955688
3cm,836.891113
4cm,855.061462
5cm,881.672241
6cm,809.374634
7cm,782.364563
9cm,642.555298
12cm,407.635193
15cm,278.879883
18cm,208.8997
21cm,190.38
23cm,204.6548
24cm,214.9177
25cm,241.6102
26cm,263.7144
27cm,268.027
28cm,263.782
29cm,236.5934
1cm,309.599823
2cm,378.367981
3cm,432.529846
4cm,441.517975
5cm,424.077118
6cm,414.992126
7cm,390.107971
9cm,332.720337
12cm,288.198822
15cm,278.879883
18cm,305.501129
21cm,365.849884
23cm,401.226837
24cm,436.323029
25cm,456.041687
26cm,470.987915
27cm,441.805389
28cm,404.297211
29cm,308.349152
1cm,310.698486
2cm,391.134491
3cm,440.248505
4cm,442.469513
5cm,416.197662
6cm,402.797485
7cm,385.801514
9cm,343.445618
12cm,301.674988
15cm,278.879883
18cm,295.767181
21cm,380.608795
23cm,436.472748
24cm,483.056824
25cm,473.723175
26cm,472.380585
27cm,475.497742
28cm,419.447662
29cm,320.611206
